ID,NumMateria
1784,2328
1788,3200
1788,3481
1789,3535
1790,4196
1793,4672
1805,7186
1811,8838
1816,10200
1822,11630
1822,11669
1822,11813
1827,12906
1845,17157
1845,17170
1847,17931
1860,21812
1869,24377
1871,25114
1871,25259
1879,26574
1890,28596
1892,29240
1892,29269
1892,29270
1900,31128
1902,31768
1912,30738
1912,34362
1928,37783
1929,38252
1929,38444
1931,38650
1932,39102
1933,39643
1936,41018
1941,43314
1942,43794
1942,43871
1951,45883
1951,46026
1952,45462
1953,46660
1953,46674
1958,47241
1959,47473
1961,47945
1971,49346
1971,50100
1972,50201
1975,50758
1979,51638
1982,52192
1985,52994
1988,53526
1989,53856
2000,55998
2001,53609
2003,56689
2009,58101
2016,59519
2017,59955
2029,64098
2030,64147
2033,64840
2033,65026
2033,65039
2033,65139
2034,65422
2038,66359
2046,68954
2049,69614
2051,70402
2052,70578
2052,70747
2061,72911
2068,74628
2069,75089
2071,75521
2084,79990
2084,80085
2086,80660
2094,82298
2099,83805
2100,84201
2103,85161
2112,88480
2113,88801
2118,89280
2118,89721
2119,90222
2126,92168
2127,92608
2137,94012
2141,95153
2147,96622
2149,97979
2150,98256
2153,98872
2154,99173
2156,100150
2156,100157
2159,101255
2162,102207
2165,103008
2166,103431
2169,102637
2176,105866
2177,106315
2187,108714
2187,108959
2189,109220
2194,110242
2200,111922
2202,112585
2202,112731
2204,113255
2204,113291
2206,113642
2208,113548
2217,116265
2217,116484
2217,116485
2221,116946
2221,117148
2228,118905
2234,120484
2237,121481
2239,122110
2239,122159
2239,122271
2245,123369
2245,123708
2247,124030
2252,125763
2261,127682
2262,128133
2265,129059
2269,130047
2271,130217
2271,130239
2296,135522
2297,136264
2299,136426
2300,136717
2302,137031
2303,137230
2321,140599
2344,145981
2351,147381
2351,147495
2353,147821
2356,148302
2358,148602
2365,149873
2365,150323
2366,150807
2369,151434
2370,151680
2370,151915
2376,152908
2376,153145
2380,154440
2385,155336
2395,156212
2396,156773
2400,157807
2409,158562
2412,160367
2413,160873
2415,161209
2415,161364
2418,161925
2418,162094
2419,162342
2419,162473
2429,163850
2429,164924
2431,165263
2433,165578
2433,165653
2433,165702
2439,167078
2439,167115
2441,167605
2443,168108
2444,168757
2446,168952
2450,169388
2452,169420
2453,169908
2459,170611
2459,170614
2459,170838
2462,171481
2465,172117
2468,172126
2473,174591
2474,174684
2474,174807
2476,175166
2479,175671
2480,176314
2482,177245
2484,177370
2488,178524
2488,178610
2492,179611
2492,179692
2493,179546
2493,180087
2494,180445
2495,180843
2500,182132
2501,182331
2503,182937
2507,183896
2508,184263
2510,184749
2510,184827
2512,185269
2513,185730
2515,185800
2516,186453
2520,187641
2520,187689
2524,188554
2530,190354
2533,190787
2533,191063
2536,192158
2538,192080
2538,192569
2540,193080
2540,193274
2541,193671
2548,195875
2549,196339
2551,196470
2551,196474
2563,199827
2563,199893
2565,200778
2568,201460
2572,201926
2579,203836
2583,204524
2583,204711
2585,204763
2595,207121
2597,207776
2602,209224
2603,209522
2605,210000
2611,212137
2613,212588
2615,213020
2615,213089
2616,213666
2621,214657
2625,216418
2627,216714
2628,216928
2629,217265
2629,217535
2630,217653
2630,217857
2631,218332
2633,218327
2635,218405
2635,218564
2639,220135
2639,220291
2639,220314
2644,221307
2648,222127
2648,222151
2648,222328
2651,222751
2651,222782
2652,223167
2655,223828
2657,224051
2663,225155
2664,225351
2664,225368
2670,226501
2670,226539
2677,227799
2677,227981
2677,227986
2677,227988
2678,228204
2678,228410
2680,228804
2681,229084
2684,229925
2686,230240
2686,230475
2692,231296
2692,231316
2692,231471
2698,233240
2702,233725
2702,233889
2708,235081
2708,235460
2709,235581
2709,235766
2718,237033
2718,237757
2724,239552
2726,240142
2728,238930
2728,240441
2732,241922
2737,242791
2737,242959
2750,245246
2750,245398
2750,245503
2756,246843
2758,247159
2759,247421
2762,248168
2763,248560
2767,249832
2770,250515
2770,250640
2772,250685
2772,250714
2776,252089
2780,252768
2788,254971
2789,255577
2808,260769
2808,260855
2814,262185
2822,264492
2824,265009
2829,266240
2829,266304
2833,267321
2835,268194
2837,268796
2837,268845
2837,269001
2837,269078
2839,268933
2839,269213
2846,270814
2852,271079
2857,273691
2857,273725
2861,274566
2866,275858
2869,276617
2869,277108
2869,277121
2870,277469
2879,279049
2883,280729
2884,280936
2886,281338
2889,282350
2894,283707
2897,284488
2909,287599
2911,288433
2915,289631
2915,289729
2923,292348
2929,293988
2933,295494
2936,296863
2936,297037
2940,297781
2940,298467
2941,298679
2941,298831
2947,299853
2954,302917
2955,303252
2956,303649
2957,303959
2959,304603
2959,304758
2963,305904
2963,305907
2965,306420
2967,306727
2967,307478
2974,309536
2982,310091
2986,311096
2989,311414
2991,312265
2997,313081
2997,313289
2997,313315
3000,313279
3009,314884
3010,315084
3011,314892
3027,317765
3027,317940
3027,318228
3028,317664
3031,318389
3032,320009
3036,320882
3038,321330
3043,318882
3044,323181
3049,324155
3054,325462
3065,327967
3070,329747
3071,329954
3071,329957
3071,330109
3074,330819
3078,332564
3079,332688
3079,332924
3079,332950
3081,332691
3082,332692
3082,333638
3086,334565
3091,335811
